position,parent,auc,normalized_auc
{filler},cleft,0.1375,1.0
{filler},control,0.012499999999999999,0.0909090909090909
{filler},control_lexical,0.0,0.0
{filler},embedded_wh_finite,0.0775,0.5636363636363636
{filler},embedded_wh_nonfinite,0.07500000000000001,0.5454545454545455
{filler},pseudo_cleft,0.03,0.21818181818181814
{filler},restricted_rc,0.0325,0.23636363636363636
{filler},topicalization,0.030000000000000002,0.21818181818181817
{filler},wh_question,0.0525,0.3818181818181818
the,cleft,0.11499999999999999,0.6388888888888888
the,control,0.18,1.0
the,control_lexical,0.0,0.0
the,embedded_wh_finite,0.175,0.9722222222222222
the,embedded_wh_nonfinite,0.14250000000000002,0.7916666666666667
the,pseudo_cleft,0.0625,0.3472222222222222
the,restricted_rc,0.05,0.2777777777777778
the,topicalization,0.135,0.7500000000000001
the,wh_question,0.135,0.7500000000000001
{np},cleft,0.365,1.0
{np},control,0.315,0.863013698630137
{np},control_lexical,0.0,0.0
{np},embedded_wh_finite,0.33499999999999996,0.9178082191780821
{np},embedded_wh_nonfinite,0.3,0.821917808219178
{np},pseudo_cleft,0.06999999999999999,0.1917808219178082
{np},restricted_rc,0.08,0.21917808219178084
{np},topicalization,0.3075,0.8424657534246576
{np},wh_question,0.105,0.2876712328767123
{verb},cleft,0.42000000000000004,0.9655172413793104
{verb},control,0.07,0.16091954022988508
{verb},control_lexical,0.0,0.0
{verb},embedded_wh_finite,0.39749999999999996,0.9137931034482758
{verb},embedded_wh_nonfinite,0.4,0.9195402298850576
{verb},pseudo_cleft,0.435,1.0
{verb},restricted_rc,0.1325,0.3045977011494253
{verb},topicalization,0.3025,0.6954022988505747
{verb},wh_question,0.41,0.9425287356321839
